model,task,sparsity,achieved_sparsity,accuracy,precision,recall,f1_score,memory_size_mb,nominal_bits,effective_bits,latency_ms,throughput_samples_per_sec
bert-base,wnli,0.0,,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.4060398426595609,417.6552810668945,32,32.0,112.77395426667076,141.8767312367679
bert-base,wnli,0.1,0.1000000046769394,0.5211267605633803,0.3065451532725766,0.5211267605633803,0.386019822639541,417.6552810668945,32,28.799999850337937,27.984678966663523,571.74141676093
bert-base,wnli,0.2,0.19999999766153026,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,417.65528106689453,32,25.60000007483103,27.44378823333591,583.0098914903022
bert-base,wnli,0.3,0.30000000233846974,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,417.65528106689453,32,22.39999992516897,27.47150946666655,582.421581872453
bert-base,wnli,0.4,0.3999999953230605,0.5352112676056338,0.31026740151051235,0.5352112676056338,0.3928156092518414,417.65528106689453,32,19.200000149662063,27.39537786666612,584.0401281512646
bert-base,wnli,0.5,0.5,0.43661971830985913,0.19063677841698073,0.43661971830985913,0.2653962993648163,417.65528106689453,32,16.0,27.189563333339112,588.4610872136085
bert-base,wnli,0.6,0.6000000046769395,0.43661971830985913,0.19063677841698073,0.43661971830985913,0.2653962993648163,417.65528106689453,32,12.799999850337937,27.076020833336162,590.9287815401849
bert-base,wnli,0.7,0.6999999976615303,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,417.65528106689453,32,9.60000007483103,26.951360633332417,593.662049856281
bert-base,wnli,0.8,0.8000000023384697,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,417.65528106689453,32,6.39999992516897,26.867313400005816,595.5191634455173
bert-base,wnli,0.9,0.8999999953230605,0.43661971830985913,0.19063677841698073,0.43661971830985913,0.2653962993648163,417.65528106689453,32,3.2000001496620634,26.625164766672544,600.9352482966657
bert-base,wnli,0.95,0.9499999976615303,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,417.65528106689453,32,1.60000007483103,26.501144466669757,603.7475106074401
bert-base,wnli,0.99,0.9900000018707757,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,417.65528106689453,32,0.3199999401351761,26.307250066671862,608.1973585019471
distilbert,wnli,0.0,,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,255.41699981689453,32,32.0,18.2668425666634,875.9039741876169
distilbert,wnli,0.1,0.10000000464482336,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,255.41699981689453,32,28.79999985136565,17.33258759998838,923.1166383956847
distilbert,wnli,0.2,0.20000000928964673,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,255.41699981689453,32,25.599999702731303,17.462137633325863,916.2681188278218
distilbert,wnli,0.3,0.29999999071035327,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,255.41699981689453,32,22.400000297268697,17.275926933325536,926.1442272678144
distilbert,wnli,0.4,0.39999999535517666,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,255.41699981689453,32,19.200000148634345,17.80288779999258,898.7305980778393
distilbert,wnli,0.5,0.5,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,255.41699981689453,32,16.0,19.00526350000291,841.8720424474803
distilbert,wnli,0.6,0.6000000046448234,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,255.41699981689453,32,12.799999851365651,18.009312133335698,888.4292682330488
distilbert,wnli,0.7,0.7000000092896467,0.43661971830985913,0.19063677841698073,0.43661971830985913,0.2653962993648163,255.41699981689453,32,9.599999702731306,18.12790793333079,882.6170156447937
distilbert,wnli,0.8,0.7999999907103533,0.43661971830985913,0.19063677841698073,0.43661971830985913,0.2653962993648163,255.41699981689453,32,6.400000297268694,17.83037389999057,897.3451756953041
distilbert,wnli,0.9,0.8999999953551766,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,255.41699981689453,32,3.2000001486343486,16.723950499999773,956.7117530035871
distilbert,wnli,0.95,0.9500000092896467,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,255.41699981689453,32,1.5999997027313064,16.723796533324276,956.7205609155781
distilbert,wnli,0.99,0.9899999972131059,0.5633802816901409,0.3173973417972625,0.5633802816901409,0.40603984265956095,255.41699981689453,32,0.32000008918060985,16.639434933328324,961.571114891194
distilbert,rte,0.0,,0.6101083032490975,0.6161424046152757,0.6101083032490975,0.5951231495524747,255.41699981689453,32,32.0,17.190716100003556,930.734933142005
distilbert,rte,0.1,0.10000000464482336,0.6137184115523465,0.6198008264611753,0.6137184115523465,0.5994564868875945,255.41699981689453,32,28.79999985136565,17.13881499999843,933.5534574590755
distilbert,rte,0.2,0.20000000928964673,0.6064981949458483,0.610707600328539,0.6064981949458483,0.5931213326572222,255.41699981689453,32,25.599999702731303,17.207286033332515,929.8386723511271
distilbert,rte,0.3,0.29999999071035327,0.6137184115523465,0.6148185767606927,0.6137184115523465,0.6063358167615414,255.41699981689453,32,22.400000297268697,17.191142700009248,930.7118368572087
distilbert,rte,0.4,0.39999999535517666,0.6173285198555957,0.6195078177660336,0.6173285198555957,0.608751258447774,255.41699981689453,32,19.200000148634345,17.09460450000127,935.967837103152
distilbert,rte,0.5,0.5,0.5487364620938628,0.5739915260431356,0.5487364620938628,0.5304009439396383,255.41699981689453,32,16.0,17.03220593334057,939.3968146357353
distilbert,rte,0.6,0.6000000046448234,0.4693140794223827,0.4333828838394564,0.4693140794223827,0.31438061574792214,255.41699981689453,32,12.799999851365651,17.030630533326985,939.4837125196182
distilbert,rte,0.7,0.7000000092896467,0.4729241877256318,0.22365728733594858,0.4729241877256318,0.3036915127061655,255.41699981689453,32,9.599999702731306,16.901747233335602,946.6476914554094
distilbert,rte,0.8,0.7999999907103533,0.48014440433212996,0.514392673025327,0.48014440433212996,0.3672593533910849,255.41699981689453,32,6.400000297268694,16.72039200000957,956.9153641846938
distilbert,rte,0.9,0.8999999953551766,0.4729241877256318,0.22365728733594858,0.4729241877256318,0.3036915127061655,255.41699981689453,32,3.2000001486343486,16.639260833320197,961.5811760075258
distilbert,rte,0.95,0.9500000092896467,0.4729241877256318,0.22365728733594858,0.4729241877256318,0.3036915127061655,255.41699981689453,32,1.5999997027313064,16.684431233337214,958.9778504424144
distilbert,rte,0.99,0.9899999972131059,0.4729241877256318,0.22365728733594858,0.4729241877256318,0.3036915127061655,255.41699981689453,32,0.32000008918060985,20.317669366674334,787.4918973848296
bert-base,rte,0.0,,0.6714801444043321,0.6715671303079767,0.6714801444043321,0.669530574516584,417.65528106689453,32,32.0,28.8691589666693,554.2246664848359
bert-base,rte,0.1,0.10000000467693947,0.6642599277978339,0.6648797802678669,0.6642599277978339,0.6613900127932343,417.65528106689453,32,28.799999850337937,29.020477533322264,551.3348283682884
bert-base,rte,0.2,0.19999999766153026,0.6570397111913358,0.6602596851014775,0.6570397111913358,0.6511886645891156,417.65528106689453,32,25.60000007483103,27.412741066670304,583.6701977772501
bert-base,rte,0.3,0.30000000233846974,0.6714801444043321,0.673345327469182,0.6714801444043321,0.6676662856835961,417.65528106689453,32,22.39999992516897,27.41400940000555,583.6431937605144
bert-base,rte,0.4,0.3999999953230605,0.6606498194945848,0.6606715227758496,0.6606498194945848,0.6584283316695047,417.65528106689453,32,19.200000149662063,29.229399233327058,547.3940765007912
bert-base,rte,0.5,0.5,0.5776173285198556,0.6209209315495151,0.5776173285198556,0.5532410151409021,417.65528106689453,32,16.0,28.548819966666393,560.4434795792472
bert-base,rte,0.6,0.6000000046769395,0.4729241877256318,0.22365728733594858,0.4729241877256318,0.3036915127061655,417.65528106689453,32,12.799999850337937,29.32763310000155,545.5605621307079
bert-base,rte,0.7,0.6999999976615303,0.4729241877256318,0.48423586040914557,0.4729241877256318,0.417396083907259,417.65528106689453,32,9.60000007483103,27.01360086666682,592.294232781941
bert-base,rte,0.8,0.8000000023384697,0.5270758122743683,0.2778089118846851,0.5270758122743683,0.3638442959435355,417.65528106689453,32,6.39999992516897,26.869895733337522,595.4619310319383
bert-base,rte,0.9,0.8999999953230605,0.4729241877256318,0.22365728733594858,0.4729241877256318,0.3036915127061655,417.65528106689453,32,3.2000001496620634,26.75319893332926,598.0593214244419
bert-base,rte,0.95,0.9499999976615303,0.5270758122743683,0.2778089118846851,0.5270758122743683,0.3638442959435355,417.65528106689453,32,1.60000007483103,26.639674033337236,600.6079496309673
bert-base,rte,0.99,0.9900000018707757,0.5270758122743683,0.2778089118846851,0.5270758122743683,0.3638442959435355,417.65528106689453,32,0.3199999401351761,26.39116519999334,606.2634930572917
distilbert,mrpc,0.0,,0.8553921568627451,0.8538416884972613,0.8553921568627451,0.8507347365804588,255.41699981689453,32,32.0,17.09723143332364,935.8240287263667
distilbert,mrpc,0.1,0.10000000464482336,0.8504901960784313,0.8489763552479815,0.8504901960784313,0.8452028363793069,255.41699981689453,32,28.79999985136565,16.996438899999095,941.3736662213901
distilbert,mrpc,0.2,0.20000000928964673,0.8578431372549019,0.855473843954861,0.8578431372549019,0.8551250171505813,255.41699981689453,32,25.599999702731303,16.971427166678648,942.7610207946491
