model,task,dense_accuracy,max_safe_sparsity_%
DistilBERT,COLA,80.44,40.0
DistilBERT,SST2,91.28,50.0
DistilBERT,MRPC,85.54,40.0
DistilBERT,STSB,86.73,40.0
DistilBERT,QQP,90.38,50.0
DistilBERT,MNLI,82.32,40.0
DistilBERT,QNLI,89.24,50.0
DistilBERT,RTE,61.01,40.0
DistilBERT,WNLI,56.34,99.0
BERT-base,COLA,83.13,40.0
BERT-base,SST2,92.89,50.0
BERT-base,MRPC,88.73,30.0
BERT-base,STSB,88.62,40.0
BERT-base,QQP,91.42,50.0
BERT-base,MNLI,84.32,40.0
BERT-base,QNLI,91.84,40.0
BERT-base,RTE,67.15,40.0
BERT-base,WNLI,56.34,99.0
